name,category,calories,protein,carbs,fiber,fat,sugar,iron,calcium,magnesium,potassium,sodium,zinc,vitamin_a,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k,folate,omega3,omega6,serving_size,cost,availability,image_path,description,source
Oats (dry),Grain,389,16.9,66.3,10.6,6.9,0,4.7,54,177,429,2,4.0,0,0,0,0,0.4,2,56,0.1,2.5,40,35,High,assets/oats_dry.png,Oats (dry) - Grain food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Quinoa (cooked),Grain,120,4.4,21.3,2.8,1.9,0.9,1.5,17,64,172,7,1.1,1,0,0,0,0.6,0,42,0.1,1.0,100,60,Medium,assets/quinoa_cooked.png,Quinoa (cooked) - Grain food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Almonds,Nuts,579,21.2,21.6,12.5,49.9,4.4,3.7,269,270,733,1,3.1,0,0,0,0,25.6,0,44,0,12.1,30,90,High,assets/almonds.png,Almonds - Nuts food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Walnuts,Nuts,654,15.2,13.7,6.7,65.2,2.6,2.9,98,158,441,2,3.1,1,0,1.3,0,0.7,2.7,98,9.1,38.1,30,100,High,assets/walnuts.png,Walnuts - Nuts food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Peanuts,Nuts,567,25.8,16.1,8.5,49.2,4.7,4.6,92,168,705,18,3.3,0,0,0,0,8.3,0,240,0,15.6,30,40,High,assets/peanuts.png,Peanuts - Nuts food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Milk (whole),Dairy,61,3.2,4.8,0,3.3,5.1,0.03,113,10,132,43,0.4,46,0.4,0,0.1,0.1,0.3,5,0,0.1,250,20,High,assets/milk_whole.png,Milk (whole) - Dairy food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Yogurt (plain),Dairy,61,3.5,4.7,0,3.3,4.7,0.05,121,12,155,46,0.5,27,0.5,0.5,0,0.1,0.2,7,0,0.1,100,25,High,assets/yogurt_plain.png,Yogurt (plain) - Dairy food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Cheddar Cheese,Dairy,403,24.9,1.3,0,33.1,0.5,0.7,721,28,98,621,3.1,265,0.8,0,0.3,0.6,2.4,18,0.4,0.7,30,80,High,assets/cheddar_cheese.png,Cheddar Cheese - Dairy food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Broccoli (cooked),Vegetable,35,2.4,7.2,3.3,0.4,1.4,0.7,40,21,293,41,0.4,31,0,64.9,0,1.5,141,108,0.1,0.02,100,30,High,assets/broccoli_cooked.png,Broccoli (cooked) - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Sweet Potato (baked),Vegetable,90,2.0,20.7,3.3,0.2,6.5,0.7,38,27,475,36,0.3,961,0,19.6,0,0.7,2.6,6,0,0.02,100,25,High,assets/sweet_potato_baked.png,Sweet Potato (baked) - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Brown Rice (cooked),Grain,112,2.3,23.5,1.8,0.8,0.2,0.4,10,44,79,4,0.6,0,0,0,0,0.1,0.5,4,0,0.3,150,20,High,assets/brown_rice_cooked.png,Brown Rice (cooked) - Grain food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Pumpkin Seeds,Seeds,559,30.2,10.7,6.0,49.0,1.4,8.8,46,592,809,7,7.8,16,0,1.9,0,0.1,6.2,58,0.1,20.7,30,55,Medium,assets/pumpkin_seeds.png,Pumpkin Seeds - Seeds food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Chia Seeds,Seeds,486,16.5,42.1,34.4,30.7,0,7.7,631,335,407,16,4.6,54,0,1.6,0,0.5,0,49,17.8,5.8,15,60,Medium,assets/chia_seeds.png,Chia Seeds - Seeds food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Flax Seeds,Seeds,534,18.3,28.9,27.3,42.2,1.6,5.7,255,392,813,30,4.3,0,0,0.6,0,0.3,4.3,87,22.8,5.9,15,50,Medium,assets/flax_seeds.png,Flax Seeds - Seeds food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
"Mushrooms (button, cooked)",Vegetable,28,3.1,5.3,2.0,0.5,1.9,0.9,3,9,356,6,0.7,0,0,0,0.2,0,0,17,0,0.2,100,30,High,assets/mushrooms_button_cooked.png,"Mushrooms (button, cooked) - Vegetable food item with per-serving nutrition data.",Curated dataset (USDA/typical nutrition references)
White Rice (cooked),Grain,130,2.7,28.2,0.4,0.3,0.1,0.2,10,12,35,1,0.5,0,0,0,0,0,0,3,0,0.1,150,15,High,assets/white_rice_cooked.png,White Rice (cooked) - Grain food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Whole Wheat Bread,Grain,247,13.0,41.3,6.8,3.4,5.6,2.5,107,82,248,400,1.8,0,0,0,0,0.2,3.8,40,0.1,1.1,40,20,High,assets/whole_wheat_bread.png,Whole Wheat Bread - Grain food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Chana Dal (cooked),Legume,164,9.9,27.4,8.0,2.6,0,3.4,55,78,350,6,1.9,5,0,1.0,0,0.3,3.5,172,0.1,1.0,100,25,High,assets/chana_dal_cooked.png,Chana Dal (cooked) - Legume food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Moong Dal (cooked),Legume,105,7.0,19.2,7.6,0.4,2.0,1.4,27,48,266,2,0.8,6,0,1.0,0,0,2.7,159,0,0.2,100,25,High,assets/moong_dal_cooked.png,Moong Dal (cooked) - Legume food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
"Rajma (Kidney Beans, curry)",Legume,140,8.5,22.0,6.5,2.5,1.0,2.8,40,46,400,300,1.1,5,0,1.5,0,0.1,8.0,128,0.1,0.2,150,40,High,assets/rajma_kidney_beans_curry.png,"Rajma (Kidney Beans, curry) - Legume food item with per-serving nutrition data.",Curated dataset (USDA/typical nutrition references)
Soy Milk,Dairy Alt,54,3.3,6.3,0.6,1.8,4.0,0.6,25,19,118,51,0.2,0,1.2,0,1.0,0.2,0,4,0.1,1.0,250,30,Medium,assets/soy_milk.png,Soy Milk - Dairy Alt food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Cottage Cheese,Dairy,98,11.1,3.4,0,4.3,2.7,0.1,83,8,104,364,0.4,37,0.4,0,0,0,0,12,0,0.1,100,55,High,assets/cottage_cheese.png,Cottage Cheese - Dairy food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Peanut Butter,Nuts,588,25.1,20.0,6.0,50.4,9.2,1.9,43,168,649,459,2.9,0,0,0,0,7.4,0,87,0,15.7,30,60,High,assets/peanut_butter.png,Peanut Butter - Nuts food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Whole Egg Substitute (Tofu Scramble),Legume/Soy,130,12.0,4.0,1.5,8.0,1.0,2.5,200,40,150,90,1.2,5,0.1,1.0,0,0.3,2.0,20,0.4,3.0,100,45,Medium,assets/whole_egg_substitute_tofu_scramble.png,Whole Egg Substitute (Tofu Scramble) - Legume/Soy food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Green Gram Sprouts,Legume,30,3.0,5.9,1.8,0.2,4.1,0.9,13,21,149,6,0.4,2,0,13.2,0,0.1,33,61,0,0.1,100,20,High,assets/green_gram_sprouts.png,Green Gram Sprouts - Legume food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Edamame,Legume/Soy,121,11.9,8.9,5.2,5.2,2.2,2.3,63,64,436,6,1.4,5,0,6.1,0,0.4,27,303,0.3,2.6,100,45,Medium,assets/edamame.png,Edamame - Legume/Soy food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Cashews,Nuts,553,18.2,30.2,3.3,43.9,5.9,6.7,37,292,660,12,5.8,0,0,0.5,0,0.9,34.1,25,0.1,7.8,30,100,High,assets/cashews.png,Cashews - Nuts food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Pistachios,Nuts,560,20.2,27.2,10.6,45.3,7.7,3.9,107,121,1025,1,2.2,26,0,5.6,0,2.9,13.2,51,0.3,14.2,30,110,Medium,assets/pistachios.png,Pistachios - Nuts food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Whole Wheat Roti,Grain,297,11.8,60.0,10.0,2.5,1.0,3.9,30,90,300,2,2.0,0,0,0,0,0.1,0,30,0.1,0.9,60,15,High,assets/whole_wheat_roti.png,Whole Wheat Roti - Grain food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Corn (boiled),Vegetable,96,3.4,21.0,2.4,1.5,4.5,0.5,2,37,270,15,0.5,10,0,6.8,0,0.1,0.3,42,0.1,0.6,100,20,High,assets/corn_boiled.png,Corn (boiled) - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Potato (boiled),Vegetable,87,1.9,20.1,1.8,0.1,0.8,0.3,5,20,379,4,0.3,0,0,11.4,0,0,0.2,9,0,0.02,150,15,High,assets/potato_boiled.png,Potato (boiled) - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Carrot (raw),Vegetable,41,0.9,9.6,2.8,0.2,4.7,0.3,33,12,320,69,0.2,835,0,5.9,0,0.7,13.2,19,0,0.03,100,15,High,assets/carrot_raw.png,Carrot (raw) - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Tomato (raw),Vegetable,18,0.9,3.9,1.2,0.2,2.6,0.3,10,11,237,5,0.2,42,0,13.7,0,0.5,7.9,15,0,0.1,100,15,High,assets/tomato_raw.png,Tomato (raw) - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Cucumber,Vegetable,15,0.7,3.6,0.5,0.1,1.7,0.3,16,13,147,2,0.2,5,0,2.8,0,0,16.4,7,0,0.03,100,15,High,assets/cucumber.png,Cucumber - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Cauliflower (cooked),Vegetable,25,1.8,5.3,2.3,0.1,1.3,0.3,16,9,142,15,0.3,0,0,44.3,0,0.02,15.5,44,0,0.02,100,25,High,assets/cauliflower_cooked.png,Cauliflower (cooked) - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Bell Pepper,Vegetable,31,1.0,6.0,2.1,0.3,4.2,0.4,7,12,211,4,0.3,157,0,127.7,0,1.6,4.9,46,0,0.1,100,25,High,assets/bell_pepper.png,Bell Pepper - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Beetroot (cooked),Vegetable,44,1.7,10.0,2.0,0.2,6.8,0.8,16,23,305,77,0.4,2,0,3.6,0,0,0.2,109,0,0.03,100,25,High,assets/beetroot_cooked.png,Beetroot (cooked) - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Kale (cooked),Vegetable,49,4.3,8.8,2.0,0.9,2.3,1.5,150,26,348,43,0.4,500,0,41.0,0,0.9,704,13,0.1,0.1,100,30,Medium,assets/kale_cooked.png,Kale (cooked) - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Barley (cooked),Grain,123,2.3,28.2,3.8,0.4,0.4,1.3,11,22,93,3,0.8,0,0,0,0,0.01,0,19,0,0.2,150,20,Medium,assets/barley_cooked.png,Barley (cooked) - Grain food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Millet (cooked),Grain,119,3.5,23.7,1.3,1.0,0,0.6,3,44,62,2,0.9,0,0,0,0,0.02,0,19,0,0.5,150,25,Medium,assets/millet_cooked.png,Millet (cooked) - Grain food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Buckwheat (cooked),Grain,92,3.4,19.9,2.7,0.6,0.9,0.8,7,51,88,1,0.5,0,0,0,0,0,0,14,0,0.2,150,25,Medium,assets/buckwheat_cooked.png,Buckwheat (cooked) - Grain food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Soy Yogurt,Dairy Alt,65,3.9,6.5,1.0,2.5,4.0,0.6,120,20,150,40,0.4,0,0.5,0,0.6,0.2,0,10,0.1,1.0,150,40,Low,assets/soy_yogurt.png,Soy Yogurt - Dairy Alt food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Vegan Protein Powder (Pea),Supplement,380,80.0,5.0,4.0,4.0,1.0,6.0,30,40,200,300,2.5,0,0,0,0,0.2,0,10,0.1,0.5,30,150,Medium,assets/vegan_protein_powder_pea.png,Vegan Protein Powder (Pea) - Supplement food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Green Lentil Soup,Legume,90,6.0,15.0,4.5,1.0,1.5,2.0,15,25,250,320,0.8,100,0,3.0,0,0.2,5.0,60,0.05,0.1,250,35,High,assets/green_lentil_soup.png,Green Lentil Soup - Legume food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Hummus,Legume,166,7.9,14.3,6.0,9.6,0,1.9,38,33,173,379,1.6,1,0,8,0,0.2,3.0,58,0.1,4.0,100,40,High,assets/hummus.png,Hummus - Legume food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Sprouted Moong Salad,Legume,55,5.0,8.5,3.0,0.3,3.0,1.0,20,30,180,15,0.5,5,0,15.0,0,0.1,20,60,0,0.1,100,25,High,assets/sprouted_moong_salad.png,Sprouted Moong Salad - Legume food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Roasted Chickpeas (snack),Legume,400,20.0,60.0,15.0,8.0,8.0,5.0,100,90,500,300,3.0,5,0,2.0,0,0.5,6.0,250,0.1,2.0,30,45,High,assets/roasted_chickpeas_snack.png,Roasted Chickpeas (snack) - Legume food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Soy Curd (Tofu Curd),Legume/Soy,90,9.5,3.0,0.5,4.5,1.5,1.8,200,25,130,20,1.0,0,0,0,0,0.05,1.5,12,0.3,2.0,100,40,Medium,assets/soy_curd_tofu_curd.png,Soy Curd (Tofu Curd) - Legume/Soy food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Amaranth (cooked),Grain,102,3.8,18.7,2.1,1.6,0,2.1,47,65,135,3,0.9,0,0,3.0,0,0.2,0,27,0,0.5,100,35,Medium,assets/amaranth_cooked.png,Amaranth (cooked) - Grain food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Soy Nuggets Curry,Legume/Soy,210,25.0,15.0,5.0,6.0,3.0,8.0,150,100,900,400,2.5,10,0,2.0,0,0.2,4.0,90,0.2,4.0,150,50,High,assets/soy_nuggets_curry.png,Soy Nuggets Curry - Legume/Soy food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Ricotta Cheese,Dairy,174,11.3,3.0,0,13.0,0.3,0.4,207,11,105,84,1.2,120,0.3,0,0.1,0.1,0.3,12,0.1,0.3,100,70,Medium,assets/ricotta_cheese.png,Ricotta Cheese - Dairy food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Groundnut Chikki (peanut brittle),Nuts,480,15.0,55.0,3.0,25.0,40.0,2.0,60,90,400,20,1.8,0,0,0,0,4.0,0,40,0,8.0,30,30,High,assets/groundnut_chikki_peanut_brittle.png,Groundnut Chikki (peanut brittle) - Nuts food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Fenugreek Leaves (cooked),Vegetable,49,4.4,6.0,1.0,0.9,0,1.9,176,27,31,76,0.2,190,0,52,0,0,22.7,57,0,0.05,100,20,Medium,assets/fenugreek_leaves_cooked.png,Fenugreek Leaves (cooked) - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Bottle Gourd (cooked),Vegetable,14,0.6,3.4,0.5,0.02,1.3,0.2,26,11,87,2,0.7,0,0,10,0,0,0,6,0,0.01,100,15,High,assets/bottle_gourd_cooked.png,Bottle Gourd (cooked) - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Okra (cooked),Vegetable,22,1.9,4.5,3.2,0.1,1.5,0.4,77,43,144,7,0.4,36,0,16.3,0,0.4,40,46,0,0.03,100,20,High,assets/okra_cooked.png,Okra (cooked) - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Soy Chaap,Legume/Soy,220,20.0,12.0,3.0,10.0,2.0,3.0,150,60,300,350,1.5,5,0,1.0,0,0.2,2.0,30,0.2,4.0,100,70,Medium,assets/soy_chaap.png,Soy Chaap - Legume/Soy food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Multigrain Bread,Grain,265,13.0,43.0,7.0,4.0,5.0,2.8,100,90,250,420,2.0,0,0,0,0,0.2,4.0,45,0.2,1.5,40,25,High,assets/multigrain_bread.png,Multigrain Bread - Grain food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Boiled Peanuts,Nuts,375,17.5,21.0,5.0,25.0,4.0,2.0,60,100,500,30,2.0,0,0,0,0,5.0,0,150,0,8.0,50,30,High,assets/boiled_peanuts.png,Boiled Peanuts - Nuts food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Sesame Seeds,Seeds,573,17.7,23.4,11.8,49.7,0.3,14.6,975,351,468,11,7.8,9,0,0,0,0.2,13.6,97,0.4,21.4,15,40,Medium,assets/sesame_seeds.png,Sesame Seeds - Seeds food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Sunflower Seeds,Seeds,584,20.8,20.0,8.6,51.5,2.6,5.3,78,325,645,9,5.0,3,0,1.4,0,35.2,0,227,0,23.1,30,45,Medium,assets/sunflower_seeds.png,Sunflower Seeds - Seeds food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Ash Gourd (cooked),Vegetable,15,0.4,3.0,2.9,0.2,0,0.4,19,10,108,111,0.6,0,0,13,0,0,0,5,0,0.05,100,15,Medium,assets/ash_gourd_cooked.png,Ash Gourd (cooked) - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
