name,category,calories,protein,carbs,fiber,fat,sugar,iron,calcium,magnesium,potassium,sodium,zinc,vitamin_a,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k,folate,omega3,omega6,serving_size,cost,availability,image_path,description,source
Turkey (cooked),Poultry,189,29.0,0,0,7.4,0,1.4,21,27,298,70,2.4,0,0.3,0,0.1,0.1,0,8,0.05,1.0,100,120,Low,assets/turkey_cooked.png,Turkey (cooked) - Poultry food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Duck (cooked),Poultry,337,19.0,0,0,28.4,0,2.7,11,16,204,65,1.9,63,0.4,0,0,0.6,0,8,0.1,3.2,100,160,Low,assets/duck_cooked.png,Duck (cooked) - Poultry food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Shrimp (cooked),Shellfish,99,24.0,0.2,0,0.3,0,0.5,70,39,259,111,1.3,54,1.3,0,0,1.1,0.3,10,0.3,0.02,100,130,Medium,assets/shrimp_cooked.png,Shrimp (cooked) - Shellfish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Prawns (cooked),Shellfish,106,20.3,0.9,0,1.7,0,0.4,63,33,264,148,1.6,60,1.3,0,0,1.0,0.3,5,0.3,0.02,100,140,Medium,assets/prawns_cooked.png,Prawns (cooked) - Shellfish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Crab (cooked),Shellfish,97,20.5,0,0,1.5,0,0.7,89,45,275,293,4.5,0,8.8,3.3,0,1.2,0.4,43,0.3,0.02,100,150,Low,assets/crab_cooked.png,Crab (cooked) - Shellfish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Lamb Chops (cooked),Red Meat,294,24.5,0,0,20.9,0,1.6,10,21,264,66,4.0,0,2.3,0,0,0.2,3.5,17,0.1,0.6,100,220,Low,assets/lamb_chops_cooked.png,Lamb Chops (cooked) - Red Meat food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
"Pork (lean, cooked)",Red Meat,242,27.3,0,0,13.9,0,0.9,19,25,423,62,2.9,2,0.7,0.5,0.6,0.3,0,6,0.05,1.5,100,130,Low,assets/pork_lean_cooked.png,"Pork (lean, cooked) - Red Meat food item with per-serving nutrition data.",Curated dataset (USDA/typical nutrition references)
Chicken Liver (cooked),Organ Meat,167,24.5,0.9,0,6.5,0,9.0,8,20,230,71,4.0,3296,16.6,17.9,0.6,0.7,0.3,588,0.05,0.6,100,60,Medium,assets/chicken_liver_cooked.png,Chicken Liver (cooked) - Organ Meat food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Fish Roe (cooked),Fish,143,22.9,1.5,0,4.9,0,1.0,39,33,221,91,1.7,108,5.4,6.9,3.0,5.7,0,92,0.6,0.2,100,200,Low,assets/fish_roe_cooked.png,Fish Roe (cooked) - Fish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Chicken Wings (cooked),Poultry,203,30.5,0,0,8.1,0,1.3,14,21,200,82,2.0,30,0.3,0,0.1,0.3,0.3,5,0.03,1.2,100,100,High,assets/chicken_wings_cooked.png,Chicken Wings (cooked) - Poultry food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Chicken Drumstick (cooked),Poultry,172,28.3,0,0,5.7,0,1.2,12,22,240,80,2.3,30,0.3,0,0.1,0.2,0.3,6,0.03,1.1,100,90,High,assets/chicken_drumstick_cooked.png,Chicken Drumstick (cooked) - Poultry food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Mackerel (cooked),Fish,262,23.9,0,0,17.8,0,1.6,15,76,314,90,0.9,45,8.7,0.4,16.1,1.5,0.1,6,2.6,0.2,100,110,Medium,assets/mackerel_cooked.png,Mackerel (cooked) - Fish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Trout (cooked),Fish,148,20.8,0,0,6.6,0,0.4,73,28,419,45,1.0,20,6.0,0,15.9,0.5,0,12,1.0,0.2,100,130,Low,assets/trout_cooked.png,Trout (cooked) - Fish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Anchovies (canned),Fish,210,28.9,0,0,9.7,0,3.3,232,69,383,3668,2.1,39,0.6,0,0,0.7,0.1,21,1.5,0.2,30,90,Low,assets/anchovies_canned.png,Anchovies (canned) - Fish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Squid (cooked),Shellfish,92,15.6,3.1,0,1.4,0,0.7,39,33,246,44,1.5,15,1.3,4.0,0,1.2,0.1,5,0.3,0.1,100,120,Low,assets/squid_cooked.png,Squid (cooked) - Shellfish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Oysters (cooked),Shellfish,81,9.5,4.9,0,2.3,0,5.1,8,47,156,90,39.3,90,16.1,3.7,0,0.9,0,10,0.3,0.1,100,150,Low,assets/oysters_cooked.png,Oysters (cooked) - Shellfish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Clams (cooked),Shellfish,148,25.5,5.1,0,1.9,0,23.8,92,42,628,95,2.3,254,49.4,22.6,0,0.7,0,20,0.2,0.03,100,130,Low,assets/clams_cooked.png,Clams (cooked) - Shellfish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Quail Egg,Egg,158,13.1,0.4,0,11.1,0.4,3.7,64,13,132,141,1.4,156,1.6,0,0,0.1,0.7,66,0.1,1.5,40,40,Low,assets/quail_egg.png,Quail Egg - Egg food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Bacon (cooked),Processed Meat,541,37.0,1.4,0,42.0,0,1.4,11,23,565,1717,3.0,0,1.0,0,0.5,0.5,0,4,0.1,4.5,20,100,Medium,assets/bacon_cooked.png,Bacon (cooked) - Processed Meat food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Sausage (chicken),Processed Meat,219,15.0,3.5,0,16.0,1.0,1.1,15,15,200,800,1.5,20,0.4,0,0.2,0.2,0.1,5,0.05,1.5,60,70,High,assets/sausage_chicken.png,Sausage (chicken) - Processed Meat food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Ham,Processed Meat,145,21.0,1.5,0,5.5,1.0,0.8,8,18,350,1200,2.0,0,0.6,0,0.6,0.2,0,3,0.02,0.5,50,80,Medium,assets/ham.png,Ham - Processed Meat food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Beef Liver (cooked),Organ Meat,175,26.5,3.9,0,4.9,0,5.2,6,18,313,79,4.0,9355,59.3,1.3,1.2,0.4,3.0,220,0.1,0.3,100,70,Low,assets/beef_liver_cooked.png,Beef Liver (cooked) - Organ Meat food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Chicken Gizzard (cooked),Organ Meat,148,25.0,0,0,3.9,0,3.5,12,15,200,60,3.0,0,0.2,5.0,0,0.1,0,20,0.02,0.5,100,50,Low,assets/chicken_gizzard_cooked.png,Chicken Gizzard (cooked) - Organ Meat food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Rabbit (cooked),Red Meat,173,33.0,0,0,3.5,0,4.7,20,25,350,40,1.7,0,8.4,0,0,0.2,0,10,0.1,0.3,100,150,Low,assets/rabbit_cooked.png,Rabbit (cooked) - Red Meat food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Venison (cooked),Red Meat,158,30.2,0,0,3.2,0,3.8,6,24,379,51,3.3,0,5.2,0,0,0.2,1.6,5,0.1,0.3,100,250,Low,assets/venison_cooked.png,Venison (cooked) - Red Meat food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Halibut (cooked),Fish,140,27.0,0,0,2.9,0,0.6,10,91,528,68,0.5,60,1.2,0,0.6,0.7,0,21,0.5,0.1,100,150,Low,assets/halibut_cooked.png,Halibut (cooked) - Fish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Cod (cooked),Fish,105,23.0,0,0,0.9,0,0.4,12,33,334,78,0.5,27,0.9,1.0,1.4,0.4,0.1,10,0.2,0.02,100,110,Medium,assets/cod_cooked.png,Cod (cooked) - Fish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Catfish (cooked),Fish,105,18.5,0,0,2.9,0,0.4,8,20,400,50,0.5,15,2.4,0.6,0,0.6,0,9,0.2,0.5,100,90,High,assets/catfish_cooked.png,Catfish (cooked) - Fish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Chicken Sausage,Processed Meat,200,16.0,4.0,0,14.0,1.0,1.0,20,15,220,750,1.4,15,0.4,0,0.2,0.2,0.1,5,0.05,1.4,60,65,High,assets/chicken_sausage.png,Chicken Sausage - Processed Meat food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Meatballs (beef),Red Meat,230,18.0,6.0,0.5,14.0,1.0,2.0,30,20,280,500,3.5,10,1.8,0,0,0.2,0.5,12,0.02,0.3,100,130,Medium,assets/meatballs_beef.png,Meatballs (beef) - Red Meat food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Fried Chicken (breaded),Poultry,246,19.0,8.5,0.5,15.0,0.5,1.1,15,22,220,400,1.3,25,0.3,0,0.1,0.3,0.3,10,0.03,1.0,100,100,High,assets/fried_chicken_breaded.png,Fried Chicken (breaded) - Poultry food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Chicken Tikka,Poultry,190,27.0,3.0,0.5,8.0,1.0,1.5,20,25,250,350,1.8,30,0.3,2.0,0.1,0.3,0.3,8,0.03,1.0,100,110,High,assets/chicken_tikka.png,Chicken Tikka - Poultry food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Beef Kebab,Red Meat,230,24.0,2.0,0.3,14.0,1.0,2.4,15,20,300,400,5.0,0,2.2,1.0,0,0.2,1.0,8,0.02,0.3,100,160,Medium,assets/beef_kebab.png,Beef Kebab - Red Meat food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Fish Fingers (fried),Fish,220,12.0,18.0,0.8,11.0,1.0,0.6,20,20,200,450,0.5,15,0.8,0,1.0,0.4,0,8,0.2,0.1,100,90,High,assets/fish_fingers_fried.png,Fish Fingers (fried) - Fish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Chicken Curry,Poultry,180,20.0,5.0,1.0,9.0,1.5,1.2,20,22,250,400,1.5,40,0.3,3.0,0.1,0.3,0.4,10,0.03,1.0,200,100,High,assets/chicken_curry.png,Chicken Curry - Poultry food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Mutton Curry,Red Meat,260,22.0,4.0,0.5,17.0,1.0,2.0,18,20,280,420,4.0,5,2.0,2.0,0,0.2,1.2,15,0.1,0.6,200,180,Medium,assets/mutton_curry.png,Mutton Curry - Red Meat food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Egg Curry,Egg,150,10.0,5.0,1.0,10.0,1.5,1.3,45,12,150,300,1.2,120,0.7,2.0,0.8,0.9,0.3,35,0.1,1.2,200,60,High,assets/egg_curry.png,Egg Curry - Egg food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Grilled Salmon,Fish,208,20.4,0,0,13.4,0,0.3,9,27,384,90,0.4,12,3.2,0,11.0,1.1,0.1,26,2.3,0.2,100,190,Medium,assets/grilled_salmon.png,Grilled Salmon - Fish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
